QID,title,titleSlug,difficulty,topicTags
872,Leaf-Similar Trees,leaf-similar-trees,Easy,"tree,depth-first-search,binary-tree"
873,Length of Longest Fibonacci Subsequence,length-of-longest-fibonacci-subsequence,Medium,"array,hash-table,dynamic-programming"
874,Walking Robot Simulation,walking-robot-simulation,Medium,"array,simulation"
875,Koko Eating Bananas,koko-eating-bananas,Medium,"array,binary-search"
876,Middle of the Linked List,middle-of-the-linked-list,Easy,"linked-list,two-pointers"
877,Stone Game,stone-game,Medium,"array,math,dynamic-programming,game-theory"
878,Nth Magical Number,nth-magical-number,Hard,"math,binary-search"
879,Profitable Schemes,profitable-schemes,Hard,"array,dynamic-programming"
880,Decoded String at Index,decoded-string-at-index,Medium,"string,stack"
881,Boats to Save People,boats-to-save-people,Medium,"array,two-pointers,greedy,sorting"
882,Reachable Nodes In Subdivided Graph,reachable-nodes-in-subdivided-graph,Hard,"graph,heap-priority-queue,shortest-path"
883,Projection Area of 3D Shapes,projection-area-of-3d-shapes,Easy,"array,math,geometry,matrix"
884,Uncommon Words from Two Sentences,uncommon-words-from-two-sentences,Easy,"hash-table,string"
885,Spiral Matrix III,spiral-matrix-iii,Medium,"array,matrix,simulation"
886,Possible Bipartition,possible-bipartition,Medium,"depth-first-search,breadth-first-search,union-find,graph"
887,Super Egg Drop,super-egg-drop,Hard,"math,binary-search,dynamic-programming"
888,Fair Candy Swap,fair-candy-swap,Easy,"array,hash-table,binary-search,sorting"
889,Construct Binary Tree from Preorder and Postorder Traversal,construct-binary-tree-from-preorder-and-postorder-traversal,Medium,"array,hash-table,divide-and-conquer,tree,binary-tree"
890,Find and Replace Pattern,find-and-replace-pattern,Medium,"array,hash-table,string"
891,Sum of Subsequence Widths,sum-of-subsequence-widths,Hard,"array,math,sorting"
892,Surface Area of 3D Shapes,surface-area-of-3d-shapes,Easy,"array,math,geometry,matrix"
893,Groups of Special-Equivalent Strings,groups-of-special-equivalent-strings,Medium,"array,hash-table,string"
894,All Possible Full Binary Trees,all-possible-full-binary-trees,Medium,"dynamic-programming,tree,recursion,memoization,binary-tree"
895,Maximum Frequency Stack,maximum-frequency-stack,Hard,"hash-table,stack,design,ordered-set"
896,Monotonic Array,monotonic-array,Easy,array
897,Increasing Order Search Tree,increasing-order-search-tree,Easy,"stack,tree,depth-first-search,binary-search-tree,binary-tree"
898,Bitwise ORs of Subarrays,bitwise-ors-of-subarrays,Medium,"array,dynamic-programming,bit-manipulation"
899,Orderly Queue,orderly-queue,Hard,"math,string,sorting"
900,RLE Iterator,rle-iterator,Medium,"array,design,counting,iterator"
901,Online Stock Span,online-stock-span,Medium,"stack,design,monotonic-stack,data-stream"
902,Numbers At Most N Given Digit Set,numbers-at-most-n-given-digit-set,Hard,"array,math,string,binary-search,dynamic-programming"
903,Valid Permutations for DI Sequence,valid-permutations-for-di-sequence,Hard,"string,dynamic-programming,prefix-sum"
904,Fruit Into Baskets,fruit-into-baskets,Medium,"array,hash-table,sliding-window"
905,Sort Array By Parity,sort-array-by-parity,Easy,"array,two-pointers,sorting"
906,Super Palindromes,super-palindromes,Hard,"math,enumeration"
907,Sum of Subarray Minimums,sum-of-subarray-minimums,Medium,"array,dynamic-programming,stack,monotonic-stack"
908,Smallest Range I,smallest-range-i,Easy,"array,math"
909,Snakes and Ladders,snakes-and-ladders,Medium,"array,breadth-first-search,matrix"
910,Smallest Range II,smallest-range-ii,Medium,"array,math,greedy,sorting"
911,Online Election,online-election,Medium,"array,hash-table,binary-search,design"
912,Sort an Array,sort-an-array,Medium,"array,divide-and-conquer,sorting,heap-priority-queue,merge-sort,bucket-sort,radix-sort,counting-sort"
913,Cat and Mouse,cat-and-mouse,Hard,"math,dynamic-programming,graph,topological-sort,memoization,game-theory"
914,X of a Kind in a Deck of Cards,x-of-a-kind-in-a-deck-of-cards,Easy,"array,hash-table,math,counting,number-theory"
915,Partition Array into Disjoint Intervals,partition-array-into-disjoint-intervals,Medium,array
916,Word Subsets,word-subsets,Medium,"array,hash-table,string"
917,Reverse Only Letters,reverse-only-letters,Easy,"two-pointers,string"
918,Maximum Sum Circular Subarray,maximum-sum-circular-subarray,Medium,"array,divide-and-conquer,dynamic-programming,queue,monotonic-queue"
919,Complete Binary Tree Inserter,complete-binary-tree-inserter,Medium,"tree,breadth-first-search,design,binary-tree"
920,Number of Music Playlists,number-of-music-playlists,Hard,"math,dynamic-programming,combinatorics"
921,Minimum Add to Make Parentheses Valid,minimum-add-to-make-parentheses-valid,Medium,"string,stack,greedy"
922,Sort Array By Parity II,sort-array-by-parity-ii,Easy,"array,two-pointers,sorting"
923,3Sum With Multiplicity,3sum-with-multiplicity,Medium,"array,hash-table,two-pointers,sorting,counting"
924,Minimize Malware Spread,minimize-malware-spread,Hard,"hash-table,depth-first-search,breadth-first-search,union-find,graph"
925,Long Pressed Name,long-pressed-name,Easy,"two-pointers,string"
926,Flip String to Monotone Increasing,flip-string-to-monotone-increasing,Medium,"string,dynamic-programming"
927,Three Equal Parts,three-equal-parts,Hard,"array,math"
928,Minimize Malware Spread II,minimize-malware-spread-ii,Hard,"hash-table,depth-first-search,breadth-first-search,union-find,graph"
929,Unique Email Addresses,unique-email-addresses,Easy,"array,hash-table,string"
930,Binary Subarrays With Sum,binary-subarrays-with-sum,Medium,"array,hash-table,sliding-window,prefix-sum"
931,Minimum Falling Path Sum,minimum-falling-path-sum,Medium,"array,dynamic-programming,matrix"
932,Beautiful Array,beautiful-array,Medium,"array,math,divide-and-conquer"
933,Number of Recent Calls,number-of-recent-calls,Easy,"design,queue,data-stream"
934,Shortest Bridge,shortest-bridge,Medium,"array,depth-first-search,breadth-first-search,matrix"
935,Knight Dialer,knight-dialer,Medium,dynamic-programming
936,Stamping The Sequence,stamping-the-sequence,Hard,"string,stack,greedy,queue"
937,Reorder Data in Log Files,reorder-data-in-log-files,Medium,"array,string,sorting"
938,Range Sum of BST,range-sum-of-bst,Easy,"tree,depth-first-search,binary-search-tree,binary-tree"
939,Minimum Area Rectangle,minimum-area-rectangle,Medium,"array,hash-table,math,geometry,sorting"
940,Distinct Subsequences II,distinct-subsequences-ii,Hard,"string,dynamic-programming"
941,Valid Mountain Array,valid-mountain-array,Easy,array
942,DI String Match,di-string-match,Easy,"array,two-pointers,string,greedy"
943,Find the Shortest Superstring,find-the-shortest-superstring,Hard,"array,string,dynamic-programming,bit-manipulation,bitmask"
944,Delete Columns to Make Sorted,delete-columns-to-make-sorted,Easy,"array,string"
945,Minimum Increment to Make Array Unique,minimum-increment-to-make-array-unique,Medium,"array,greedy,sorting,counting"
946,Validate Stack Sequences,validate-stack-sequences,Medium,"array,stack,simulation"
947,Most Stones Removed with Same Row or Column,most-stones-removed-with-same-row-or-column,Medium,"hash-table,depth-first-search,union-find,graph"
948,Bag of Tokens,bag-of-tokens,Medium,"array,two-pointers,greedy,sorting"
949,Largest Time for Given Digits,largest-time-for-given-digits,Medium,"string,enumeration"
950,Reveal Cards In Increasing Order,reveal-cards-in-increasing-order,Medium,"array,queue,sorting,simulation"
951,Flip Equivalent Binary Trees,flip-equivalent-binary-trees,Medium,"tree,depth-first-search,binary-tree"
952,Largest Component Size by Common Factor,largest-component-size-by-common-factor,Hard,"array,hash-table,math,union-find,number-theory"
953,Verifying an Alien Dictionary,verifying-an-alien-dictionary,Easy,"array,hash-table,string"
954,Array of Doubled Pairs,array-of-doubled-pairs,Medium,"array,hash-table,greedy,sorting"
955,Delete Columns to Make Sorted II,delete-columns-to-make-sorted-ii,Medium,"array,string,greedy"
956,Tallest Billboard,tallest-billboard,Hard,"array,dynamic-programming"
957,Prison Cells After N Days,prison-cells-after-n-days,Medium,"array,hash-table,math,bit-manipulation"
958,Check Completeness of a Binary Tree,check-completeness-of-a-binary-tree,Medium,"tree,breadth-first-search,binary-tree"
959,Regions Cut By Slashes,regions-cut-by-slashes,Medium,"array,hash-table,depth-first-search,breadth-first-search,union-find,matrix"
960,Delete Columns to Make Sorted III,delete-columns-to-make-sorted-iii,Hard,"array,string,dynamic-programming"
961,N-Repeated Element in Size 2N Array,n-repeated-element-in-size-2n-array,Easy,"array,hash-table"
962,Maximum Width Ramp,maximum-width-ramp,Medium,"array,stack,monotonic-stack"
963,Minimum Area Rectangle II,minimum-area-rectangle-ii,Medium,"array,math,geometry"
964,Least Operators to Express Number,least-operators-to-express-number,Hard,"math,dynamic-programming,memoization"
965,Univalued Binary Tree,univalued-binary-tree,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
966,Vowel Spellchecker,vowel-spellchecker,Medium,"array,hash-table,string"
967,Numbers With Same Consecutive Differences,numbers-with-same-consecutive-differences,Medium,"backtracking,breadth-first-search"
968,Binary Tree Cameras,binary-tree-cameras,Hard,"dynamic-programming,tree,depth-first-search,binary-tree"
969,Pancake Sorting,pancake-sorting,Medium,"array,two-pointers,greedy,sorting"
970,Powerful Integers,powerful-integers,Medium,"hash-table,math"
971,Flip Binary Tree To Match Preorder Traversal,flip-binary-tree-to-match-preorder-traversal,Medium,"tree,depth-first-search,binary-tree"
972,Equal Rational Numbers,equal-rational-numbers,Hard,"math,string"
973,K Closest Points to Origin,k-closest-points-to-origin,Medium,"array,math,divide-and-conquer,geometry,sorting,heap-priority-queue,quickselect"
974,Subarray Sums Divisible by K,subarray-sums-divisible-by-k,Medium,"array,hash-table,prefix-sum"
975,Odd Even Jump,odd-even-jump,Hard,"array,dynamic-programming,stack,monotonic-stack,ordered-set"
976,Largest Perimeter Triangle,largest-perimeter-triangle,Easy,"array,math,greedy,sorting"
977,Squares of a Sorted Array,squares-of-a-sorted-array,Easy,"array,two-pointers,sorting"
978,Longest Turbulent Subarray,longest-turbulent-subarray,Medium,"array,dynamic-programming,sliding-window"
979,Distribute Coins in Binary Tree,distribute-coins-in-binary-tree,Medium,"tree,depth-first-search,binary-tree"
980,Unique Paths III,unique-paths-iii,Hard,"array,backtracking,bit-manipulation,matrix"
981,Time Based Key-Value Store,time-based-key-value-store,Medium,"hash-table,string,binary-search,design"
982,Triples with Bitwise AND Equal To Zero,triples-with-bitwise-and-equal-to-zero,Hard,"array,hash-table,bit-manipulation"
983,Minimum Cost For Tickets,minimum-cost-for-tickets,Medium,"array,dynamic-programming"
984,String Without AAA or BBB,string-without-aaa-or-bbb,Medium,"string,greedy"
985,Sum of Even Numbers After Queries,sum-of-even-numbers-after-queries,Medium,"array,simulation"
986,Interval List Intersections,interval-list-intersections,Medium,"array,two-pointers"
987,Vertical Order Traversal of a Binary Tree,vertical-order-traversal-of-a-binary-tree,Hard,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree"
988,Smallest String Starting From Leaf,smallest-string-starting-from-leaf,Medium,"string,tree,depth-first-search,binary-tree"
989,Add to Array-Form of Integer,add-to-array-form-of-integer,Easy,"array,math"
990,Satisfiability of Equality Equations,satisfiability-of-equality-equations,Medium,"array,string,union-find,graph"
991,Broken Calculator,broken-calculator,Medium,"math,greedy"
992,Subarrays with K Different Integers,subarrays-with-k-different-integers,Hard,"array,hash-table,sliding-window,counting"
993,Cousins in Binary Tree,cousins-in-binary-tree,Easy,"tree,depth-first-search,breadth-first-search,binary-tree"
994,Rotting Oranges,rotting-oranges,Medium,"array,breadth-first-search,matrix"
995,Minimum Number of K Consecutive Bit Flips,minimum-number-of-k-consecutive-bit-flips,Hard,"array,bit-manipulation,queue,sliding-window,prefix-sum"
996,Number of Squareful Arrays,number-of-squareful-arrays,Hard,"array,math,dynamic-programming,backtracking,bit-manipulation,bitmask"
997,Find the Town Judge,find-the-town-judge,Easy,"array,hash-table,graph"
998,Maximum Binary Tree II,maximum-binary-tree-ii,Medium,"tree,binary-tree"
999,Available Captures for Rook,available-captures-for-rook,Easy,"array,matrix,simulation"
1000,Minimum Cost to Merge Stones,minimum-cost-to-merge-stones,Hard,"array,dynamic-programming,prefix-sum"
1001,Grid Illumination,grid-illumination,Hard,"array,hash-table"
1002,Find Common Characters,find-common-characters,Easy,"array,hash-table,string"
1003,Check If Word Is Valid After Substitutions,check-if-word-is-valid-after-substitutions,Medium,"string,stack"
1004,Max Consecutive Ones III,max-consecutive-ones-iii,Medium,"array,binary-search,sliding-window,prefix-sum"
1005,Maximize Sum Of Array After K Negations,maximize-sum-of-array-after-k-negations,Easy,"array,greedy,sorting"
1006,Clumsy Factorial,clumsy-factorial,Medium,"math,stack,simulation"
1007,Minimum Domino Rotations For Equal Row,minimum-domino-rotations-for-equal-row,Medium,"array,greedy"
1008,Construct Binary Search Tree from Preorder Traversal,construct-binary-search-tree-from-preorder-traversal,Medium,"array,stack,tree,binary-search-tree,monotonic-stack,binary-tree"
1009,Complement of Base 10 Integer,complement-of-base-10-integer,Easy,bit-manipulation
1010,Pairs of Songs With Total Durations Divisible by 60,pairs-of-songs-with-total-durations-divisible-by-60,Medium,"array,hash-table,counting"
1011,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,Medium,"array,binary-search"
1012,Numbers With Repeated Digits,numbers-with-repeated-digits,Hard,"math,dynamic-programming"
1013,Partition Array Into Three Parts With Equal Sum,partition-array-into-three-parts-with-equal-sum,Easy,"array,greedy"
1014,Best Sightseeing Pair,best-sightseeing-pair,Medium,"array,dynamic-programming"
1015,Smallest Integer Divisible by K,smallest-integer-divisible-by-k,Medium,"hash-table,math"
1016,Binary String With Substrings Representing 1 To N,binary-string-with-substrings-representing-1-to-n,Medium,string
1017,Convert to Base -2,convert-to-base-2,Medium,math
1018,Binary Prefix Divisible By 5,binary-prefix-divisible-by-5,Easy,array
1019,Next Greater Node In Linked List,next-greater-node-in-linked-list,Medium,"array,linked-list,stack,monotonic-stack"
1020,Number of Enclaves,number-of-enclaves,Medium,"array,depth-first-search,breadth-first-search,union-find,matrix"
1021,Remove Outermost Parentheses,remove-outermost-parentheses,Easy,"string,stack"
1022,Sum of Root To Leaf Binary Numbers,sum-of-root-to-leaf-binary-numbers,Easy,"tree,depth-first-search,binary-tree"
1023,Camelcase Matching,camelcase-matching,Medium,"two-pointers,string,trie,string-matching"
1024,Video Stitching,video-stitching,Medium,"array,dynamic-programming,greedy"
1025,Divisor Game,divisor-game,Easy,"math,dynamic-programming,brainteaser,game-theory"
1026,Maximum Difference Between Node and Ancestor,maximum-difference-between-node-and-ancestor,Medium,"tree,depth-first-search,binary-tree"
1027,Longest Arithmetic Subsequence,longest-arithmetic-subsequence,Medium,"array,hash-table,binary-search,dynamic-programming"
1028,Recover a Tree From Preorder Traversal,recover-a-tree-from-preorder-traversal,Hard,"string,tree,depth-first-search,binary-tree"
1029,Two City Scheduling,two-city-scheduling,Medium,"array,greedy,sorting"
1030,Matrix Cells in Distance Order,matrix-cells-in-distance-order,Easy,"array,math,geometry,sorting,matrix"
1031,Maximum Sum of Two Non-Overlapping Subarrays,maximum-sum-of-two-non-overlapping-subarrays,Medium,"array,dynamic-programming,sliding-window"
1032,Stream of Characters,stream-of-characters,Hard,"array,string,design,trie,data-stream"
1033,Moving Stones Until Consecutive,moving-stones-until-consecutive,Medium,"math,brainteaser"
1034,Coloring A Border,coloring-a-border,Medium,"array,depth-first-search,breadth-first-search,matrix"
1035,Uncrossed Lines,uncrossed-lines,Medium,"array,dynamic-programming"
1036,Escape a Large Maze,escape-a-large-maze,Hard,"array,hash-table,depth-first-search,breadth-first-search"
1037,Valid Boomerang,valid-boomerang,Easy,"array,math,geometry"
1038,Binary Search Tree to Greater Sum Tree,binary-search-tree-to-greater-sum-tree,Medium,"tree,depth-first-search,binary-search-tree,binary-tree"
1039,Minimum Score Triangulation of Polygon,minimum-score-triangulation-of-polygon,Medium,"array,dynamic-programming"
1040,Moving Stones Until Consecutive II,moving-stones-until-consecutive-ii,Medium,"array,math,two-pointers,sorting"
1041,Robot Bounded In Circle,robot-bounded-in-circle,Medium,"math,string,simulation"
1042,Flower Planting With No Adjacent,flower-planting-with-no-adjacent,Medium,"depth-first-search,breadth-first-search,graph"
1043,Partition Array for Maximum Sum,partition-array-for-maximum-sum,Medium,"array,dynamic-programming"
1044,Longest Duplicate Substring,longest-duplicate-substring,Hard,"string,binary-search,sliding-window,rolling-hash,suffix-array,hash-function"
1045,Customers Who Bought All Products,customers-who-bought-all-products,Medium,database
1046,Last Stone Weight,last-stone-weight,Easy,"array,heap-priority-queue"
1047,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,Easy,"string,stack"
1048,Longest String Chain,longest-string-chain,Medium,"array,hash-table,two-pointers,string,dynamic-programming"
1049,Last Stone Weight II,last-stone-weight-ii,Medium,"array,dynamic-programming"
1050,Actors and Directors Who Cooperated At Least Three Times,actors-and-directors-who-cooperated-at-least-three-times,Easy,database
1051,Height Checker,height-checker,Easy,"array,sorting,counting-sort"
1052,Grumpy Bookstore Owner,grumpy-bookstore-owner,Medium,"array,sliding-window"
1053,Previous Permutation With One Swap,previous-permutation-with-one-swap,Medium,"array,greedy"
1054,Distant Barcodes,distant-barcodes,Medium,"array,hash-table,greedy,sorting,heap-priority-queue,counting"
1055,Shortest Way to Form String,shortest-way-to-form-string,Medium,"two-pointers,string,greedy"
1056,Confusing Number,confusing-number,Easy,math
1057,Campus Bikes,campus-bikes,Medium,"array,greedy,sorting"
1058,Minimize Rounding Error to Meet Target,minimize-rounding-error-to-meet-target,Medium,"array,math,string,greedy"
1059,All Paths from Source Lead to Destination,all-paths-from-source-lead-to-destination,Medium,"depth-first-search,graph"
1060,Missing Element in Sorted Array,missing-element-in-sorted-array,Medium,"array,binary-search"
1061,Lexicographically Smallest Equivalent String,lexicographically-smallest-equivalent-string,Medium,"string,union-find"
1062,Longest Repeating Substring,longest-repeating-substring,Medium,"string,binary-search,dynamic-programming,rolling-hash,suffix-array,hash-function"
1063,Number of Valid Subarrays,number-of-valid-subarrays,Hard,"array,stack,monotonic-stack"
1064,Fixed Point,fixed-point,Easy,"array,binary-search"
1065,Index Pairs of a String,index-pairs-of-a-string,Easy,"array,string,trie,sorting"
1066,Campus Bikes II,campus-bikes-ii,Medium,"array,dynamic-programming,backtracking,bit-manipulation,bitmask"
1067,Digit Count in Range,digit-count-in-range,Hard,"math,dynamic-programming"
1068,Product Sales Analysis I,product-sales-analysis-i,Easy,database
1069,Product Sales Analysis II,product-sales-analysis-ii,Easy,database
1070,Product Sales Analysis III,product-sales-analysis-iii,Medium,database
1071,Greatest Common Divisor of Strings,greatest-common-divisor-of-strings,Easy,"math,string"
1072,Flip Columns For Maximum Number of Equal Rows,flip-columns-for-maximum-number-of-equal-rows,Medium,"array,hash-table,matrix"
1073,Adding Two Negabinary Numbers,adding-two-negabinary-numbers,Medium,"array,math"
1074,Number of Submatrices That Sum to Target,number-of-submatrices-that-sum-to-target,Hard,"array,hash-table,matrix,prefix-sum"
1075,Project Employees I,project-employees-i,Easy,database
1076,Project Employees II,project-employees-ii,Easy,database
1077,Project Employees III,project-employees-iii,Medium,database
1078,Occurrences After Bigram,occurrences-after-bigram,Easy,string
1079,Letter Tile Possibilities,letter-tile-possibilities,Medium,"hash-table,string,backtracking,counting"
1080,Insufficient Nodes in Root to Leaf Paths,insufficient-nodes-in-root-to-leaf-paths,Medium,"tree,depth-first-search,binary-tree"
1081,Smallest Subsequence of Distinct Characters,smallest-subsequence-of-distinct-characters,Medium,"string,stack,greedy,monotonic-stack"
1082,Sales Analysis I,sales-analysis-i,Easy,database
1083,Sales Analysis II,sales-analysis-ii,Easy,database
1084,Sales Analysis III,sales-analysis-iii,Easy,database
1085,Sum of Digits in the Minimum Number,sum-of-digits-in-the-minimum-number,Easy,"array,math"
1086,High Five,high-five,Easy,"array,hash-table,sorting"
1087,Brace Expansion,brace-expansion,Medium,"string,backtracking,breadth-first-search"
1088,Confusing Number II,confusing-number-ii,Hard,"math,backtracking"
1089,Duplicate Zeros,duplicate-zeros,Easy,"array,two-pointers"
1090,Largest Values From Labels,largest-values-from-labels,Medium,"array,hash-table,greedy,sorting,counting"
1091,Shortest Path in Binary Matrix,shortest-path-in-binary-matrix,Medium,"array,breadth-first-search,matrix"
1092,Shortest Common Supersequence,shortest-common-supersequence,Hard,"string,dynamic-programming"
1093,Statistics from a Large Sample,statistics-from-a-large-sample,Medium,"array,math,probability-and-statistics"
1094,Car Pooling,car-pooling,Medium,"array,sorting,heap-priority-queue,simulation,prefix-sum"
1095,Find in Mountain Array,find-in-mountain-array,Hard,"array,binary-search,interactive"
1096,Brace Expansion II,brace-expansion-ii,Hard,"string,backtracking,stack,breadth-first-search"
1097,Game Play Analysis V,game-play-analysis-v,Hard,database
1098,Unpopular Books,unpopular-books,Medium,database
1099,Two Sum Less Than K,two-sum-less-than-k,Easy,"array,two-pointers,binary-search,sorting"
1100,Find K-Length Substrings With No Repeated Characters,find-k-length-substrings-with-no-repeated-characters,Medium,"hash-table,string,sliding-window"
1101,The Earliest Moment When Everyone Become Friends,the-earliest-moment-when-everyone-become-friends,Medium,"array,union-find"
1102,Path With Maximum Minimum Value,path-with-maximum-minimum-value,Medium,"array,depth-first-search,breadth-first-search,union-find,heap-priority-queue,matrix"
1103,Distribute Candies to People,distribute-candies-to-people,Easy,"math,simulation"
1104,Path In Zigzag Labelled Binary Tree,path-in-zigzag-labelled-binary-tree,Medium,"math,tree,binary-tree"
1105,Filling Bookcase Shelves,filling-bookcase-shelves,Medium,"array,dynamic-programming"
1106,Parsing A Boolean Expression,parsing-a-boolean-expression,Hard,"string,stack,recursion"
1107,New Users Daily Count,new-users-daily-count,Medium,database
1108,Defanging an IP Address,defanging-an-ip-address,Easy,string
1109,Corporate Flight Bookings,corporate-flight-bookings,Medium,"array,prefix-sum"
1110,Delete Nodes And Return Forest,delete-nodes-and-return-forest,Medium,"array,hash-table,tree,depth-first-search,binary-tree"
1111,Maximum Nesting Depth of Two Valid Parentheses Strings,maximum-nesting-depth-of-two-valid-parentheses-strings,Medium,"string,stack"
1112,Highest Grade For Each Student,highest-grade-for-each-student,Medium,database
1113,Reported Posts,reported-posts,Easy,database
1114,Print in Order,print-in-order,Easy,concurrency
1115,Print FooBar Alternately,print-foobar-alternately,Medium,concurrency
1116,Print Zero Even Odd,print-zero-even-odd,Medium,concurrency
1117,Building H2O,building-h2o,Medium,concurrency
1118,Number of Days in a Month,number-of-days-in-a-month,Easy,math
1119,Remove Vowels from a String,remove-vowels-from-a-string,Easy,string
1120,Maximum Average Subtree,maximum-average-subtree,Medium,"tree,depth-first-search,binary-tree"
1121,Divide Array Into Increasing Sequences,divide-array-into-increasing-sequences,Hard,"array,greedy"
1122,Relative Sort Array,relative-sort-array,Easy,"array,hash-table,sorting,counting-sort"
1123,Lowest Common Ancestor of Deepest Leaves,lowest-common-ancestor-of-deepest-leaves,Medium,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree"
1124,Longest Well-Performing Interval,longest-well-performing-interval,Medium,"array,hash-table,stack,monotonic-stack,prefix-sum"
1125,Smallest Sufficient Team,smallest-sufficient-team,Hard,"array,dynamic-programming,bit-manipulation,bitmask"
1126,Active Businesses,active-businesses,Medium,database
1127,User Purchase Platform,user-purchase-platform,Hard,database
1128,Number of Equivalent Domino Pairs,number-of-equivalent-domino-pairs,Easy,"array,hash-table,counting"
1129,Shortest Path with Alternating Colors,shortest-path-with-alternating-colors,Medium,"breadth-first-search,graph"
1130,Minimum Cost Tree From Leaf Values,minimum-cost-tree-from-leaf-values,Medium,"array,dynamic-programming,stack,greedy,monotonic-stack"
1131,Maximum of Absolute Value Expression,maximum-of-absolute-value-expression,Medium,"array,math"
1132,Reported Posts II,reported-posts-ii,Medium,database
1133,Largest Unique Number,largest-unique-number,Easy,"array,hash-table,sorting"
1134,Armstrong Number,armstrong-number,Easy,math
1135,Connecting Cities With Minimum Cost,connecting-cities-with-minimum-cost,Medium,"union-find,graph,heap-priority-queue,minimum-spanning-tree"
1136,Parallel Courses,parallel-courses,Medium,"graph,topological-sort"
1137,N-th Tribonacci Number,n-th-tribonacci-number,Easy,"math,dynamic-programming,memoization"
1138,Alphabet Board Path,alphabet-board-path,Medium,"hash-table,string"
1139,Largest 1-Bordered Square,largest-1-bordered-square,Medium,"array,dynamic-programming,matrix"
1140,Stone Game II,stone-game-ii,Medium,"array,math,dynamic-programming,prefix-sum,game-theory"
1141,User Activity for the Past 30 Days I,user-activity-for-the-past-30-days-i,Easy,database
1142,User Activity for the Past 30 Days II,user-activity-for-the-past-30-days-ii,Easy,database
1143,Longest Common Subsequence,longest-common-subsequence,Medium,"string,dynamic-programming"
1144,Decrease Elements To Make Array Zigzag,decrease-elements-to-make-array-zigzag,Medium,"array,greedy"
1145,Binary Tree Coloring Game,binary-tree-coloring-game,Medium,"tree,depth-first-search,binary-tree"
1146,Snapshot Array,snapshot-array,Medium,"array,hash-table,binary-search,design"
1147,Longest Chunked Palindrome Decomposition,longest-chunked-palindrome-decomposition,Hard,"two-pointers,string,dynamic-programming,greedy,rolling-hash,hash-function"
1148,Article Views I,article-views-i,Easy,database
1149,Article Views II,article-views-ii,Medium,database
1150,Check If a Number Is Majority Element in a Sorted Array,check-if-a-number-is-majority-element-in-a-sorted-array,Easy,"array,binary-search"
1151,Minimum Swaps to Group All 1's Together,minimum-swaps-to-group-all-1s-together,Medium,"array,sliding-window"
1152,Analyze User Website Visit Pattern,analyze-user-website-visit-pattern,Medium,"array,hash-table,sorting"
1153,String Transforms Into Another String,string-transforms-into-another-string,Hard,"hash-table,string"
1154,Day of the Year,day-of-the-year,Easy,"math,string"
1155,Number of Dice Rolls With Target Sum,number-of-dice-rolls-with-target-sum,Medium,dynamic-programming
1156,Swap For Longest Repeated Character Substring,swap-for-longest-repeated-character-substring,Medium,"hash-table,string,sliding-window"
1157,Online Majority Element In Subarray,online-majority-element-in-subarray,Hard,"array,binary-search,design,binary-indexed-tree,segment-tree"
1158,Market Analysis I,market-analysis-i,Medium,database
1159,Market Analysis II,market-analysis-ii,Hard,database
1160,Find Words That Can Be Formed by Characters,find-words-that-can-be-formed-by-characters,Easy,"array,hash-table,string"
1161,Maximum Level Sum of a Binary Tree,maximum-level-sum-of-a-binary-tree,Medium,"tree,depth-first-search,breadth-first-search,binary-tree"
1162,As Far from Land as Possible,as-far-from-land-as-possible,Medium,"array,dynamic-programming,breadth-first-search,matrix"
1163,Last Substring in Lexicographical Order,last-substring-in-lexicographical-order,Hard,"two-pointers,string"
1164,Product Price at a Given Date,product-price-at-a-given-date,Medium,database
1165,Single-Row Keyboard,single-row-keyboard,Easy,"hash-table,string"
1166,Design File System,design-file-system,Medium,"hash-table,string,design,trie"
1167,Minimum Cost to Connect Sticks,minimum-cost-to-connect-sticks,Medium,"array,greedy,heap-priority-queue"
1168,Optimize Water Distribution in a Village,optimize-water-distribution-in-a-village,Hard,"union-find,graph,minimum-spanning-tree"
1169,Invalid Transactions,invalid-transactions,Medium,"array,hash-table,string,sorting"
1170,Compare Strings by Frequency of the Smallest Character,compare-strings-by-frequency-of-the-smallest-character,Medium,"array,hash-table,string,binary-search,sorting"
1171,Remove Zero Sum Consecutive Nodes from Linked List,remove-zero-sum-consecutive-nodes-from-linked-list,Medium,"hash-table,linked-list"
1172,Dinner Plate Stacks,dinner-plate-stacks,Hard,"hash-table,stack,design,heap-priority-queue"
1173,Immediate Food Delivery I,immediate-food-delivery-i,Easy,database
1174,Immediate Food Delivery II,immediate-food-delivery-ii,Medium,database
1175,Prime Arrangements,prime-arrangements,Easy,math
1176,Diet Plan Performance,diet-plan-performance,Easy,"array,sliding-window"
1177,Can Make Palindrome from Substring,can-make-palindrome-from-substring,Medium,"array,hash-table,string,bit-manipulation,prefix-sum"
1178,Number of Valid Words for Each Puzzle,number-of-valid-words-for-each-puzzle,Hard,"array,hash-table,string,bit-manipulation,trie"
1179,Reformat Department Table,reformat-department-table,Easy,database
