QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
647,Palindromic Substrings,palindromic-substrings,Medium,67.85941041131741,False,"string,dynamic-programming",algorithms
648,Replace Words,replace-words,Medium,62.71607611193395,False,"array,hash-table,string,trie",algorithms
649,Dota2 Senate,dota2-senate,Medium,47.41135296937031,False,"string,greedy,queue",algorithms
650,2 Keys Keyboard,2-keys-keyboard,Medium,53.797166261744536,False,"math,dynamic-programming",algorithms
651,4 Keys Keyboard,4-keys-keyboard,Medium,56.06274162371135,True,"math,dynamic-programming",algorithms
652,Find Duplicate Subtrees,find-duplicate-subtrees,Medium,59.19420287047977,False,"hash-table,tree,depth-first-search,binary-tree",algorithms
653,Two Sum IV - Input is a BST,two-sum-iv-input-is-a-bst,Easy,61.11417813085639,False,"hash-table,two-pointers,tree,depth-first-search,breadth-first-search,binary-search-tree,binary-tree",algorithms
654,Maximum Binary Tree,maximum-binary-tree,Medium,85.08866571738626,False,"array,divide-and-conquer,stack,tree,monotonic-stack,binary-tree",algorithms
655,Print Binary Tree,print-binary-tree,Medium,62.62959849485609,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
656,Coin Path,coin-path,Hard,31.959553695955368,True,"array,dynamic-programming",algorithms
657,Robot Return to Origin,robot-return-to-origin,Easy,75.45314211731899,False,"string,simulation",algorithms
658,Find K Closest Elements,find-k-closest-elements,Medium,46.95304695304695,False,"array,two-pointers,binary-search,sliding-window,sorting,heap-priority-queue",algorithms
659,Split Array into Consecutive Subsequences,split-array-into-consecutive-subsequences,Medium,50.89985895627645,False,"array,hash-table,greedy,heap-priority-queue",algorithms
660,Remove 9,remove-9,Hard,57.33784669141734,True,math,algorithms
661,Image Smoother,image-smoother,Easy,55.91123590550255,False,"array,matrix",algorithms
662,Maximum Width of Binary Tree,maximum-width-of-binary-tree,Medium,42.66637558686638,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
663,Equal Tree Partition,equal-tree-partition,Medium,41.43143775939313,True,"tree,depth-first-search,binary-tree",algorithms
664,Strange Printer,strange-printer,Hard,55.03967478403627,False,"string,dynamic-programming",algorithms
665,Non-decreasing Array,non-decreasing-array,Medium,24.469442336541032,False,array,algorithms
666,Path Sum IV,path-sum-iv,Medium,60.234004014294804,True,"array,hash-table,tree,depth-first-search,binary-tree",algorithms
667,Beautiful Arrangement II,beautiful-arrangement-ii,Medium,60.00369395576488,False,"array,math",algorithms
668,Kth Smallest Number in Multiplication Table,kth-smallest-number-in-multiplication-table,Hard,51.53950518065314,False,"math,binary-search",algorithms
669,Trim a Binary Search Tree,trim-a-binary-search-tree,Medium,66.2938656196713,False,"tree,depth-first-search,binary-search-tree,binary-tree",algorithms
670,Maximum Swap,maximum-swap,Medium,47.98020885040354,False,"math,greedy",algorithms
671,Second Minimum Node In a Binary Tree,second-minimum-node-in-a-binary-tree,Easy,44.264687662611195,False,"tree,depth-first-search,binary-tree",algorithms
672,Bulb Switcher II,bulb-switcher-ii,Medium,50.34584744549922,False,"math,bit-manipulation,depth-first-search,breadth-first-search",algorithms
673,Number of Longest Increasing Subsequence,number-of-longest-increasing-subsequence,Medium,47.59212074141698,False,"array,dynamic-programming,binary-indexed-tree,segment-tree",algorithms
674,Longest Continuous Increasing Subsequence,longest-continuous-increasing-subsequence,Easy,49.62126417567271,False,array,algorithms
675,Cut Off Trees for Golf Event,cut-off-trees-for-golf-event,Hard,34.11956722036486,False,"array,breadth-first-search,heap-priority-queue,matrix",algorithms
676,Implement Magic Dictionary,implement-magic-dictionary,Medium,56.97497874407871,False,"hash-table,string,depth-first-search,design,trie",algorithms
677,Map Sum Pairs,map-sum-pairs,Medium,56.667864564616174,False,"hash-table,string,design,trie",algorithms
678,Valid Parenthesis String,valid-parenthesis-string,Medium,34.48698003009513,False,"string,dynamic-programming,stack,greedy",algorithms
679,24 Game,24-game,Hard,49.24046909056871,False,"array,math,backtracking",algorithms
680,Valid Palindrome II,valid-palindrome-ii,Easy,39.69984500020946,False,"two-pointers,string,greedy",algorithms
681,Next Closest Time,next-closest-time,Medium,46.42989601812422,True,"string,enumeration",algorithms
682,Baseball Game,baseball-game,Easy,75.18747658964391,False,"array,stack,simulation",algorithms
683,K Empty Slots,k-empty-slots,Hard,36.99531095755182,True,"array,binary-indexed-tree,sliding-window,ordered-set",algorithms
684,Redundant Connection,redundant-connection,Medium,62.50399914684868,False,"depth-first-search,breadth-first-search,union-find,graph",algorithms
685,Redundant Connection II,redundant-connection-ii,Hard,34.145165937606414,False,"depth-first-search,breadth-first-search,union-find,graph",algorithms
686,Repeated String Match,repeated-string-match,Medium,34.491902921108114,False,"string,string-matching",algorithms
687,Longest Univalue Path,longest-univalue-path,Medium,40.837371072199566,False,"tree,depth-first-search,binary-tree",algorithms
688,Knight Probability in Chessboard,knight-probability-in-chessboard,Medium,56.19343279893738,False,dynamic-programming,algorithms
689,Maximum Sum of 3 Non-Overlapping Subarrays,maximum-sum-of-3-non-overlapping-subarrays,Hard,49.15835168648335,False,"array,dynamic-programming",algorithms
690,Employee Importance,employee-importance,Medium,66.14876982986692,False,"hash-table,depth-first-search,breadth-first-search",algorithms
691,Stickers to Spell Word,stickers-to-spell-word,Hard,46.727780411990935,False,"array,string,dynamic-programming,backtracking,bit-manipulation,bitmask",algorithms
692,Top K Frequent Words,top-k-frequent-words,Medium,57.529777907481105,False,"hash-table,string,trie,sorting,heap-priority-queue,bucket-sort,counting",algorithms
693,Binary Number with Alternating Bits,binary-number-with-alternating-bits,Easy,61.88984152251227,False,bit-manipulation,algorithms
694,Number of Distinct Islands,number-of-distinct-islands,Medium,60.970249368686865,True,"hash-table,depth-first-search,breadth-first-search,union-find,hash-function",algorithms
695,Max Area of Island,max-area-of-island,Medium,71.85519703498335,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
696,Count Binary Substrings,count-binary-substrings,Easy,65.4570022844261,False,"two-pointers,string",algorithms
697,Degree of an Array,degree-of-an-array,Easy,56.131393809330135,False,"array,hash-table",algorithms
698,Partition to K Equal Sum Subsets,partition-to-k-equal-sum-subsets,Medium,38.86406613710315,False,"array,dynamic-programming,backtracking,bit-manipulation,memoization,bitmask",algorithms
699,Falling Squares,falling-squares,Hard,44.776010771862154,False,"array,segment-tree,ordered-set",algorithms
700,Search in a Binary Search Tree,search-in-a-binary-search-tree,Easy,78.75580446887905,False,"tree,binary-search-tree,binary-tree",algorithms
701,Insert into a Binary Search Tree,insert-into-a-binary-search-tree,Medium,73.89020981267873,False,"tree,binary-search-tree,binary-tree",algorithms
702,Search in a Sorted Array of Unknown Size,search-in-a-sorted-array-of-unknown-size,Medium,71.69313205536973,True,"array,binary-search,interactive",algorithms
703,Kth Largest Element in a Stream,kth-largest-element-in-a-stream,Easy,56.588077341413204,False,"tree,design,binary-search-tree,heap-priority-queue,binary-tree,data-stream",algorithms
704,Binary Search,binary-search,Easy,56.72257099421778,False,"array,binary-search",algorithms
705,Design HashSet,design-hashset,Easy,67.15114447758293,False,"array,hash-table,linked-list,design,hash-function",algorithms
706,Design HashMap,design-hashmap,Easy,65.95329531885739,False,"array,hash-table,linked-list,design,hash-function",algorithms
707,Design Linked List,design-linked-list,Medium,27.976896078841552,False,"linked-list,design",algorithms
708,Insert into a Sorted Circular Linked List,insert-into-a-sorted-circular-linked-list,Medium,34.89877992309086,True,linked-list,algorithms
709,To Lower Case,to-lower-case,Easy,82.81097218559206,False,string,algorithms
710,Random Pick with Blacklist,random-pick-with-blacklist,Hard,33.44000966125234,False,"array,hash-table,math,binary-search,sorting,randomized",algorithms
711,Number of Distinct Islands II,number-of-distinct-islands-ii,Hard,52.44433068850781,True,"hash-table,depth-first-search,breadth-first-search,union-find,hash-function",algorithms
712,Minimum ASCII Delete Sum for Two Strings,minimum-ascii-delete-sum-for-two-strings,Medium,64.89497150990255,False,"string,dynamic-programming",algorithms
713,Subarray Product Less Than K,subarray-product-less-than-k,Medium,46.549544736121945,False,"array,sliding-window",algorithms
714,Best Time to Buy and Sell Stock with Transaction Fee,best-time-to-buy-and-sell-stock-with-transaction-fee,Medium,68.07799323199227,False,"array,dynamic-programming,greedy",algorithms
715,Range Module,range-module,Hard,44.42843993507634,False,"design,segment-tree,ordered-set",algorithms
716,Max Stack,max-stack,Hard,45.093828072658056,True,"linked-list,stack,design,doubly-linked-list,ordered-set",algorithms
717,1-bit and 2-bit Characters,1-bit-and-2-bit-characters,Easy,45.25816783181192,False,array,algorithms
718,Maximum Length of Repeated Subarray,maximum-length-of-repeated-subarray,Medium,51.03325919732746,False,"array,binary-search,dynamic-programming,sliding-window,rolling-hash,hash-function",algorithms
719,Find K-th Smallest Pair Distance,find-k-th-smallest-pair-distance,Hard,37.20432859284173,False,"array,two-pointers,binary-search,sorting",algorithms
720,Longest Word in Dictionary,longest-word-in-dictionary,Medium,52.144024507325085,False,"array,hash-table,string,trie,sorting",algorithms
721,Accounts Merge,accounts-merge,Medium,56.61261603713188,False,"array,hash-table,string,depth-first-search,breadth-first-search,union-find,sorting",algorithms
722,Remove Comments,remove-comments,Medium,38.41831685983689,False,"array,string",algorithms
723,Candy Crush,candy-crush,Medium,76.93386617390046,True,"array,two-pointers,matrix,simulation",algorithms
724,Find Pivot Index,find-pivot-index,Easy,56.184133816324724,False,"array,prefix-sum",algorithms
725,Split Linked List in Parts,split-linked-list-in-parts,Medium,63.7745695500661,False,linked-list,algorithms
726,Number of Atoms,number-of-atoms,Hard,52.51331791669397,False,"hash-table,string,stack,sorting",algorithms
727,Minimum Window Subsequence,minimum-window-subsequence,Hard,43.215883696616245,True,"string,dynamic-programming,sliding-window",algorithms
728,Self Dividing Numbers,self-dividing-numbers,Easy,78.11200384756839,False,math,algorithms
729,My Calendar I,my-calendar-i,Medium,56.64288652972588,False,"binary-search,design,segment-tree,ordered-set",algorithms
730,Count Different Palindromic Subsequences,count-different-palindromic-subsequences,Hard,44.82188525225388,False,"string,dynamic-programming",algorithms
731,My Calendar II,my-calendar-ii,Medium,55.22760766333715,False,"binary-search,design,segment-tree,ordered-set",algorithms
732,My Calendar III,my-calendar-iii,Hard,71.56641448592336,False,"binary-search,design,segment-tree,ordered-set",algorithms
733,Flood Fill,flood-fill,Easy,63.12979360535698,False,"array,depth-first-search,breadth-first-search,matrix",algorithms
734,Sentence Similarity,sentence-similarity,Easy,44.08501872137856,True,"array,hash-table,string",algorithms
735,Asteroid Collision,asteroid-collision,Medium,45.11600804576449,False,"array,stack,simulation",algorithms
736,Parse Lisp Expression,parse-lisp-expression,Hard,51.50399921487806,False,"hash-table,string,stack,recursion",algorithms
737,Sentence Similarity II,sentence-similarity-ii,Medium,49.370872845065044,True,"array,hash-table,string,depth-first-search,breadth-first-search,union-find",algorithms
738,Monotone Increasing Digits,monotone-increasing-digits,Medium,47.52944163427924,False,"math,greedy",algorithms
739,Daily Temperatures,daily-temperatures,Medium,65.88201450449097,False,"array,stack,monotonic-stack",algorithms
740,Delete and Earn,delete-and-earn,Medium,56.625556818160746,False,"array,hash-table,dynamic-programming",algorithms
741,Cherry Pickup,cherry-pickup,Hard,36.53683039682257,False,"array,dynamic-programming,matrix",algorithms
742,Closest Leaf in a Binary Tree,closest-leaf-in-a-binary-tree,Medium,46.03460294010549,True,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
743,Network Delay Time,network-delay-time,Medium,52.8379100874663,False,"depth-first-search,breadth-first-search,graph,heap-priority-queue,shortest-path",algorithms
744,Find Smallest Letter Greater Than Target,find-smallest-letter-greater-than-target,Easy,51.24592464397425,False,"array,binary-search",algorithms
745,Prefix and Suffix Search,prefix-and-suffix-search,Hard,41.03058436798969,False,"hash-table,string,design,trie",algorithms
746,Min Cost Climbing Stairs,min-cost-climbing-stairs,Easy,65.02459696786353,False,"array,dynamic-programming",algorithms
747,Largest Number At Least Twice of Others,largest-number-at-least-twice-of-others,Easy,47.952310036711225,False,"array,sorting",algorithms
748,Shortest Completing Word,shortest-completing-word,Easy,59.29664230221932,False,"array,hash-table,string",algorithms
749,Contain Virus,contain-virus,Hard,51.14821591948765,False,"array,depth-first-search,breadth-first-search,matrix,simulation",algorithms
750,Number Of Corner Rectangles,number-of-corner-rectangles,Medium,67.64774292819953,True,"array,math,dynamic-programming,matrix",algorithms
751,IP to CIDR,ip-to-cidr,Medium,54.516313978942975,True,"string,bit-manipulation",algorithms
752,Open the Lock,open-the-lock,Medium,55.870460121019995,False,"array,hash-table,string,breadth-first-search",algorithms
753,Cracking the Safe,cracking-the-safe,Hard,56.291040679826786,False,"depth-first-search,graph,eulerian-circuit",algorithms
754,Reach a Number,reach-a-number,Medium,42.83476224907895,False,"math,binary-search",algorithms
755,Pour Water,pour-water,Medium,46.565399096872696,True,"array,simulation",algorithms
756,Pyramid Transition Matrix,pyramid-transition-matrix,Medium,52.508987542847585,False,"bit-manipulation,depth-first-search,breadth-first-search",algorithms
757,Set Intersection Size At Least Two,set-intersection-size-at-least-two,Hard,43.9679840749803,False,"array,greedy,sorting",algorithms
758,Bold Words in String,bold-words-in-string,Medium,51.104771494098564,True,"array,hash-table,string,trie,string-matching",algorithms
759,Employee Free Time,employee-free-time,Hard,71.93974416167819,True,"array,sorting,heap-priority-queue",algorithms
760,Find Anagram Mappings,find-anagram-mappings,Easy,83.44702411162055,True,"array,hash-table",algorithms
761,Special Binary String,special-binary-string,Hard,60.72707872875544,False,"string,recursion",algorithms
762,Prime Number of Set Bits in Binary Representation,prime-number-of-set-bits-in-binary-representation,Easy,68.69826006972089,False,"math,bit-manipulation",algorithms
763,Partition Labels,partition-labels,Medium,79.77276578575751,False,"hash-table,two-pointers,string,greedy",algorithms
764,Largest Plus Sign,largest-plus-sign,Medium,48.1982647061378,False,"array,dynamic-programming",algorithms
765,Couples Holding Hands,couples-holding-hands,Hard,56.743477471296835,False,"greedy,depth-first-search,breadth-first-search,union-find,graph",algorithms
766,Toeplitz Matrix,toeplitz-matrix,Easy,68.48882563408655,False,"array,matrix",algorithms
767,Reorganize String,reorganize-string,Medium,54.32909211523286,False,"hash-table,string,greedy,sorting,heap-priority-queue,counting",algorithms
768,Max Chunks To Make Sorted II,max-chunks-to-make-sorted-ii,Hard,52.89014425501867,False,"array,stack,greedy,sorting,monotonic-stack",algorithms
769,Max Chunks To Make Sorted,max-chunks-to-make-sorted,Medium,58.23291002431775,False,"array,stack,greedy,sorting,monotonic-stack",algorithms
770,Basic Calculator IV,basic-calculator-iv,Hard,54.96546257501982,False,"hash-table,math,string,stack,recursion",algorithms
771,Jewels and Stones,jewels-and-stones,Easy,88.32832977364909,False,"hash-table,string",algorithms
772,Basic Calculator III,basic-calculator-iii,Hard,49.490333607871264,True,"math,string,stack,recursion",algorithms
773,Sliding Puzzle,sliding-puzzle,Hard,64.4189258570943,False,"array,breadth-first-search,matrix",algorithms
774,Minimize Max Distance to Gas Station,minimize-max-distance-to-gas-station,Hard,51.93932789023279,True,"array,binary-search",algorithms
775,Global and Local Inversions,global-and-local-inversions,Medium,42.682396999161675,False,"array,math",algorithms
776,Split BST,split-bst,Medium,83.04527604712356,True,"tree,binary-search-tree,recursion,binary-tree",algorithms
777,Swap Adjacent in LR String,swap-adjacent-in-lr-string,Medium,36.78433038921096,False,"two-pointers,string",algorithms
778,Swim in Rising Water,swim-in-rising-water,Hard,60.223624487988495,False,"array,binary-search,depth-first-search,breadth-first-search,union-find,heap-priority-queue,matrix",algorithms
779,K-th Symbol in Grammar,k-th-symbol-in-grammar,Medium,41.941977381699004,False,"math,bit-manipulation,recursion",algorithms
780,Reaching Points,reaching-points,Hard,32.81129724491208,False,math,algorithms
781,Rabbits in Forest,rabbits-in-forest,Medium,53.98863708365894,False,"array,hash-table,math,greedy",algorithms
782,Transform to Chessboard,transform-to-chessboard,Hard,51.36632547657057,False,"array,math,bit-manipulation,matrix",algorithms
783,Minimum Distance Between BST Nodes,minimum-distance-between-bst-nodes,Easy,59.45694472289479,False,"tree,depth-first-search,breadth-first-search,binary-search-tree,binary-tree",algorithms
784,Letter Case Permutation,letter-case-permutation,Medium,73.99125128428656,False,"string,backtracking,bit-manipulation",algorithms
785,Is Graph Bipartite?,is-graph-bipartite,Medium,55.06328834496673,False,"depth-first-search,breadth-first-search,union-find,graph",algorithms
786,K-th Smallest Prime Fraction,k-th-smallest-prime-fraction,Medium,52.93581971892245,False,"array,binary-search,sorting,heap-priority-queue",algorithms
787,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,Medium,37.322643325663535,False,"dynamic-programming,depth-first-search,breadth-first-search,graph,heap-priority-queue,shortest-path",algorithms
788,Rotated Digits,rotated-digits,Medium,56.46989638756651,False,"math,dynamic-programming",algorithms
789,Escape The Ghosts,escape-the-ghosts,Medium,61.27595422462825,False,"array,math",algorithms
790,Domino and Tromino Tiling,domino-and-tromino-tiling,Medium,51.587582076226255,False,dynamic-programming,algorithms
791,Custom Sort String,custom-sort-string,Medium,69.04183045823947,False,"hash-table,string,sorting",algorithms
792,Number of Matching Subsequences,number-of-matching-subsequences,Medium,51.276940676122365,False,"array,hash-table,string,binary-search,dynamic-programming,trie,sorting",algorithms
793,Preimage Size of Factorial Zeroes Function,preimage-size-of-factorial-zeroes-function,Hard,43.65558912386707,False,"math,binary-search",algorithms
794,Valid Tic-Tac-Toe State,valid-tic-tac-toe-state,Medium,34.92168859552989,False,"array,matrix",algorithms
795,Number of Subarrays with Bounded Maximum,number-of-subarrays-with-bounded-maximum,Medium,52.8559284628337,False,"array,two-pointers",algorithms
796,Rotate String,rotate-string,Easy,56.59621098295281,False,"string,string-matching",algorithms
797,All Paths From Source to Target,all-paths-from-source-to-target,Medium,82.41012011886326,False,"backtracking,depth-first-search,breadth-first-search,graph",algorithms
798,Smallest Rotation with Highest Score,smallest-rotation-with-highest-score,Hard,50.55741360089186,False,"array,prefix-sum",algorithms
799,Champagne Tower,champagne-tower,Medium,57.881613183000866,False,dynamic-programming,algorithms
800,Similar RGB Color,similar-rgb-color,Easy,67.08022163334137,True,"math,string,enumeration",algorithms
801,Minimum Swaps To Make Sequences Increasing,minimum-swaps-to-make-sequences-increasing,Hard,39.566015633799644,False,"array,dynamic-programming",algorithms
802,Find Eventual Safe States,find-eventual-safe-states,Medium,61.718309031044214,False,"depth-first-search,breadth-first-search,graph,topological-sort",algorithms
803,Bricks Falling When Hit,bricks-falling-when-hit,Hard,34.511630122792184,False,"array,union-find,matrix",algorithms
804,Unique Morse Code Words,unique-morse-code-words,Easy,82.66840664618947,False,"array,hash-table,string",algorithms
805,Split Array With Same Average,split-array-with-same-average,Hard,25.346412296284853,False,"array,math,dynamic-programming,bit-manipulation,bitmask",algorithms
806,Number of Lines To Write String,number-of-lines-to-write-string,Easy,67.33476451925452,False,"array,string",algorithms
807,Max Increase to Keep City Skyline,max-increase-to-keep-city-skyline,Medium,85.99100078617667,False,"array,greedy,matrix",algorithms
808,Soup Servings,soup-servings,Medium,54.832438602436284,False,"math,dynamic-programming,probability-and-statistics",algorithms
809,Expressive Words,expressive-words,Medium,46.139040886100055,False,"array,two-pointers,string",algorithms
810,Chalkboard XOR Game,chalkboard-xor-game,Hard,57.56010576154461,False,"array,math,bit-manipulation,brainteaser,game-theory",algorithms
811,Subdomain Visit Count,subdomain-visit-count,Medium,75.80226012317812,False,"array,hash-table,string,counting",algorithms
812,Largest Triangle Area,largest-triangle-area,Easy,60.11592969767875,False,"array,math,geometry",algorithms
813,Largest Sum of Averages,largest-sum-of-averages,Medium,53.146164792484726,False,"array,dynamic-programming,prefix-sum",algorithms
814,Binary Tree Pruning,binary-tree-pruning,Medium,72.2888992765445,False,"tree,depth-first-search,binary-tree",algorithms
815,Bus Routes,bus-routes,Hard,45.52558158007089,False,"array,hash-table,breadth-first-search",algorithms
816,Ambiguous Coordinates,ambiguous-coordinates,Medium,56.38602803091703,False,"string,backtracking",algorithms
817,Linked List Components,linked-list-components,Medium,57.191406562358395,False,"array,hash-table,linked-list",algorithms
818,Race Car,race-car,Hard,43.47514122781184,False,dynamic-programming,algorithms
819,Most Common Word,most-common-word,Easy,44.467839569729676,False,"hash-table,string,counting",algorithms
820,Short Encoding of Words,short-encoding-of-words,Medium,60.50910925282784,False,"array,hash-table,string,trie",algorithms
821,Shortest Distance to a Character,shortest-distance-to-a-character,Easy,71.29671793833907,False,"array,two-pointers,string",algorithms
822,Card Flipping Game,card-flipping-game,Medium,46.59084542551403,False,"array,hash-table",algorithms
823,Binary Trees With Factors,binary-trees-with-factors,Medium,49.581665667417454,False,"array,hash-table,dynamic-programming,sorting",algorithms
824,Goat Latin,goat-latin,Easy,67.91754997127968,False,string,algorithms
825,Friends Of Appropriate Ages,friends-of-appropriate-ages,Medium,46.37289453551227,False,"array,two-pointers,binary-search,sorting",algorithms
826,Most Profit Assigning Work,most-profit-assigning-work,Medium,45.432909990345685,False,"array,two-pointers,binary-search,greedy,sorting",algorithms
827,Making A Large Island,making-a-large-island,Hard,45.82419517505243,False,"array,depth-first-search,breadth-first-search,union-find,matrix",algorithms
828,Count Unique Characters of All Substrings of a Given String,count-unique-characters-of-all-substrings-of-a-given-string,Hard,51.92310669990555,False,"hash-table,string,dynamic-programming",algorithms
829,Consecutive Numbers Sum,consecutive-numbers-sum,Hard,41.65605999908723,False,"math,enumeration",algorithms
830,Positions of Large Groups,positions-of-large-groups,Easy,51.98696148460208,False,string,algorithms
831,Masking Personal Information,masking-personal-information,Medium,48.05366591080877,False,string,algorithms
832,Flipping an Image,flipping-an-image,Easy,81.29988859170739,False,"array,two-pointers,matrix,simulation",algorithms
833,Find And Replace in String,find-and-replace-in-string,Medium,53.584717671629214,False,"array,string,sorting",algorithms
834,Sum of Distances in Tree,sum-of-distances-in-tree,Hard,59.27789889769555,False,"dynamic-programming,tree,depth-first-search,graph",algorithms
835,Image Overlap,image-overlap,Medium,63.74009220458504,False,"array,matrix",algorithms
836,Rectangle Overlap,rectangle-overlap,Easy,44.28058429498828,False,"math,geometry",algorithms
837,New 21 Game,new-21-game,Medium,45.1898891022861,False,"math,dynamic-programming,sliding-window,probability-and-statistics",algorithms
838,Push Dominoes,push-dominoes,Medium,57.06472416922512,False,"two-pointers,string,dynamic-programming",algorithms
839,Similar String Groups,similar-string-groups,Hard,54.56942256713666,False,"array,hash-table,string,depth-first-search,breadth-first-search,union-find",algorithms
840,Magic Squares In Grid,magic-squares-in-grid,Medium,38.77748451613582,False,"array,math,matrix",algorithms
841,Keys and Rooms,keys-and-rooms,Medium,72.23987104130217,False,"depth-first-search,breadth-first-search,graph",algorithms
842,Split Array into Fibonacci Sequence,split-array-into-fibonacci-sequence,Medium,38.73027837976486,False,"string,backtracking",algorithms
843,Guess the Word,guess-the-word,Hard,40.18364067192192,False,"array,math,string,interactive,game-theory",algorithms
844,Backspace String Compare,backspace-string-compare,Easy,48.99407109073772,False,"two-pointers,string,stack,simulation",algorithms
845,Longest Mountain in Array,longest-mountain-in-array,Medium,40.21861595265244,False,"array,two-pointers,dynamic-programming,enumeration",algorithms
846,Hand of Straights,hand-of-straights,Medium,55.99710491484691,False,"array,hash-table,greedy,sorting",algorithms
847,Shortest Path Visiting All Nodes,shortest-path-visiting-all-nodes,Hard,65.9620798621086,False,"dynamic-programming,bit-manipulation,breadth-first-search,graph,bitmask",algorithms
848,Shifting Letters,shifting-letters,Medium,44.86742302738394,False,"array,string",algorithms
849,Maximize Distance to Closest Person,maximize-distance-to-closest-person,Medium,47.81747198610275,False,array,algorithms
850,Rectangle Area II,rectangle-area-ii,Hard,54.058699738148405,False,"array,segment-tree,line-sweep,ordered-set",algorithms
851,Loud and Rich,loud-and-rich,Medium,58.85975876037165,False,"array,depth-first-search,graph,topological-sort",algorithms
852,Peak Index in a Mountain Array,peak-index-in-a-mountain-array,Medium,68.79554053275461,False,"array,binary-search",algorithms
853,Car Fleet,car-fleet,Medium,50.324812329161084,False,"array,stack,sorting,monotonic-stack",algorithms
854,K-Similar Strings,k-similar-strings,Hard,39.86262237794562,False,"string,breadth-first-search",algorithms
855,Exam Room,exam-room,Medium,43.28407921031914,False,"design,heap-priority-queue,ordered-set",algorithms
856,Score of Parentheses,score-of-parentheses,Medium,64.33144966504123,False,"string,stack",algorithms
857,Minimum Cost to Hire K Workers,minimum-cost-to-hire-k-workers,Hard,52.69820063586552,False,"array,greedy,sorting,heap-priority-queue",algorithms
858,Mirror Reflection,mirror-reflection,Medium,62.74091678603985,False,"math,geometry,number-theory",algorithms
859,Buddy Strings,buddy-strings,Easy,32.86784431576633,False,"hash-table,string",algorithms
860,Lemonade Change,lemonade-change,Easy,53.037261083675645,False,"array,greedy",algorithms
861,Score After Flipping Matrix,score-after-flipping-matrix,Medium,74.93758945511433,False,"array,greedy,bit-manipulation,matrix",algorithms
862,Shortest Subarray with Sum at Least K,shortest-subarray-with-sum-at-least-k,Hard,25.92300187786544,False,"array,binary-search,queue,sliding-window,heap-priority-queue,prefix-sum,monotonic-queue",algorithms
863,All Nodes Distance K in Binary Tree,all-nodes-distance-k-in-binary-tree,Medium,64.07708765292382,False,"tree,depth-first-search,breadth-first-search,binary-tree",algorithms
864,Shortest Path to Get All Keys,shortest-path-to-get-all-keys,Hard,54.07613311713381,False,"array,bit-manipulation,breadth-first-search,matrix",algorithms
865,Smallest Subtree with all the Deepest Nodes,smallest-subtree-with-all-the-deepest-nodes,Medium,69.58806244672738,False,"hash-table,tree,depth-first-search,breadth-first-search,binary-tree",algorithms
866,Prime Palindrome,prime-palindrome,Medium,25.82360282426957,False,math,algorithms
867,Transpose Matrix,transpose-matrix,Easy,65.92034173313776,False,"array,matrix,simulation",algorithms
868,Binary Gap,binary-gap,Easy,62.69226885665242,False,bit-manipulation,algorithms
869,Reordered Power of 2,reordered-power-of-2,Medium,63.00943320349752,False,"math,sorting,counting,enumeration",algorithms
870,Advantage Shuffle,advantage-shuffle,Medium,52.13894536630157,False,"array,two-pointers,greedy,sorting",algorithms
871,Minimum Number of Refueling Stops,minimum-number-of-refueling-stops,Hard,39.8227618016632,False,"array,dynamic-programming,greedy,heap-priority-queue",algorithms
872,Leaf-Similar Trees,leaf-similar-trees,Easy,67.85005638262732,False,"tree,depth-first-search,binary-tree",algorithms
873,Length of Longest Fibonacci Subsequence,length-of-longest-fibonacci-subsequence,Medium,48.135568430204685,False,"array,hash-table,dynamic-programming",algorithms
874,Walking Robot Simulation,walking-robot-simulation,Medium,39.42243461281538,False,"array,simulation",algorithms
875,Koko Eating Bananas,koko-eating-bananas,Medium,49.67462311295002,False,"array,binary-search",algorithms
876,Middle of the Linked List,middle-of-the-linked-list,Easy,76.6985294044372,False,"linked-list,two-pointers",algorithms
877,Stone Game,stone-game,Medium,70.2321477146819,False,"array,math,dynamic-programming,game-theory",algorithms
878,Nth Magical Number,nth-magical-number,Hard,35.282735545768794,False,"math,binary-search",algorithms
879,Profitable Schemes,profitable-schemes,Hard,48.720101055376716,False,"array,dynamic-programming",algorithms
880,Decoded String at Index,decoded-string-at-index,Medium,36.56502299336102,False,"string,stack",algorithms
881,Boats to Save People,boats-to-save-people,Medium,56.19433249264749,False,"array,two-pointers,greedy,sorting",algorithms
882,Reachable Nodes In Subdivided Graph,reachable-nodes-in-subdivided-graph,Hard,49.98819408917398,False,"graph,heap-priority-queue,shortest-path",algorithms
883,Projection Area of 3D Shapes,projection-area-of-3d-shapes,Easy,71.85650525373218,False,"array,math,geometry,matrix",algorithms
884,Uncommon Words from Two Sentences,uncommon-words-from-two-sentences,Easy,66.67835975622526,False,"hash-table,string",algorithms
885,Spiral Matrix III,spiral-matrix-iii,Medium,74.09160404671286,False,"array,matrix,simulation",algorithms
886,Possible Bipartition,possible-bipartition,Medium,50.29042276666442,False,"depth-first-search,breadth-first-search,union-find,graph",algorithms
